"Date","Open","High","Low","Close","Adj.Close","Volume"
"2020-04-01",12966.799805,13138.099609,12814,12876.400391,12876.400391,37301320000
"2020-04-02",12946.599609,13248.599609,12921,13097.799805,13097.799805,44604160000
"2020-04-03",13108.299805,13171.200195,12829.400391,12938.299805,12938.299805,35498890000
"2020-04-06",13362.400391,13603,13300.099609,13592.700195,13592.700195,38678430000
"2020-04-07",13937.900391,14062.700195,13571.5,13614.099609,13614.099609,40091790000
"2020-04-08",13726,13964.900391,13588.400391,13925.700195,13925.700195,37416360000
"2020-04-09",14082,14329.200195,14010.700195,14166.599609,14166.599609,43730120000
"2020-04-13",14195.099609,14197.599609,13889.299805,14075.900391,14075.900391,32641010000
"2020-04-14",14239.099609,14440.900391,14110.700195,14258.400391,14258.400391,33590230000
"2020-04-15",14010.900391,14071,13900.700195,13958.599609,13958.599609,31561150000
"2020-04-16",14024.799805,14056.900391,13874.700195,13899.299805,13899.299805,28839570000
"2020-04-17",14079.299805,14365.799805,14079.299805,14359.900391,14359.900391,37404550000
"2020-04-20",14132.799805,14509.799805,14075.799805,14388.299805,14388.299805,33470950000
"2020-04-21",14106.5,14307.700195,13940.099609,13940.099609,13940.099609,30712960000
"2020-04-22",14212.900391,14305,14113,14288.200195,14288.200195,26717410000
"2020-04-23",14329.400391,14422.400391,14238.700195,14251.099609,14251.099609,31105830000
"2020-04-24",14337.599609,14433.700195,14242.799805,14420.400391,14420.400391,32367900000
"2020-04-27",14492,14649.599609,14404.599609,14642.099609,14642.099609,28451940000
"2020-04-28",14767.599609,14856,14658.700195,14798.299805,14798.299805,29771130000
"2020-04-29",15003,15257.900391,15002.099609,15228.099609,15228.099609,37131890000
"2020-04-30",15114.799805,15114.799805,14767.099609,14780.700195,14780.700195,40359980000
"2020-05-01",14563,14661.200195,14520.200195,14620.299805,14620.299805,28732120000
"2020-05-04",14554.200195,14745,14518.099609,14745,14745,29509350000
"2020-05-05",14899.400391,14943.700195,14764.099609,14811.599609,14811.599609,29757570000
"2020-05-06",14855.400391,14909.599609,14744.299805,14830.700195,14830.700195,30269080000
"2020-05-07",14963.200195,15016,14815.799805,14833.700195,14833.700195,31463120000
"2020-05-08",14958.200195,14985.599609,14898.5,14966.599609,14966.599609,31219220000
"2020-05-11",14901.900391,15118.799805,14852.799805,15103.200195,15103.200195,24960520000
"2020-05-12",15161.5,15184.900391,14881.200195,14881.200195,14881.200195,30666530000
"2020-05-13",14898.099609,14898.099609,14419.900391,14503.200195,14503.200195,31164400000
"2020-05-14",14346.200195,14553.099609,14187.5,14509.700195,14509.700195,30762210000
"2020-05-15",14504.299805,14657.599609,14447.900391,14638.900391,14638.900391,28694650000
"2020-05-19",14911.400391,14951.200195,14823,14885.5,14885.5,37889310000
"2020-05-20",15048.200195,15054.799805,14972.200195,14997.599609,14997.599609,30048220000
"2020-05-21",14993.5,14999.5,14783.900391,14884.900391,14884.900391,28895070000
"2020-05-22",14929.299805,14933.200195,14834.799805,14913.599609,14913.599609,25274010000
"2020-05-25",15004.200195,15089.599609,14983,15075.400391,15075.400391,12786760000
"2020-05-26",15162.099609,15185.099609,15095,15148.099609,15148.099609,29983780000
"2020-05-27",15176.5,15272,14940.299805,15272,15272,34932790000
"2020-05-28",15325.700195,15342.400391,15226.900391,15262.700195,15262.700195,33398670000
"2020-05-29",15241.799805,15244.400391,15092.900391,15192.799805,15192.799805,79356310000
"2020-06-01",15177.599609,15271.099609,15163.099609,15236.200195,15236.200195,24651350000
"2020-06-02",15301.200195,15398.700195,15279.400391,15394.400391,15394.400391,28151360000
"2020-06-03",15517.099609,15628.900391,15504.200195,15575.099609,15575.099609,37220340000
"2020-06-04",15577.299805,15637.400391,15502.400391,15527.900391,15527.900391,30007920000
"2020-06-05",15780.900391,15883,15774,15854.099609,15854.099609,37821820000
"2020-06-08",15963.5,15980.099609,15847.900391,15974.900391,15974.900391,44301580000
