"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Nov 13, 2018",11472.22,11374.11,11495.69,11349.94,"103.14M","1.30%"
"Nov 12, 2018",11325.44,11591.59,11598.51,11310.72,"96.09M","-1.77%"
"Nov 09, 2018",11529.16,11489.19,11549.06,11418.35,"106.91M","0.02%"
"Nov 08, 2018",11527.32,11629,11648.79,11503.36,"83.12M","-0.45%"
"Nov 07, 2018",11579.1,11542.09,11634.81,11532.34,"88.65M","0.83%"
"Nov 06, 2018",11484.34,11518.17,11528.52,11436.53,"86.75M","-0.09%"
"Nov 05, 2018",11494.96,11522.33,11555.97,11479.19,"71.52M","-0.21%"
"Nov 02, 2018",11518.99,11636.37,11689.96,11518.87,"113.32M","0.44%"
"Nov 01, 2018",11468.54,11419.61,11575.43,11416.36,"101.91M","0.18%"
"Oct 31, 2018",11447.51,11417.09,11499.38,11391.64,"131.22M","1.42%"
"Oct 30, 2018",11287.39,11391.78,11394.37,11212.58,"102.38M","-0.42%"
"Oct 29, 2018",11335.48,11270.67,11444.86,11218.92,"101.77M","1.20%"
"Oct 26, 2018",11200.62,11180.96,11205.83,11051.04,"142.99M","-0.94%"
"Oct 25, 2018",11307.12,11098.68,11324.92,11078.37,"124.10M","1.03%"
"Oct 24, 2018",11191.63,11298.65,11391.94,11166.84,"121.11M","-0.73%"
"Oct 23, 2018",11274.28,11367.57,11394.21,11228.5,"118.76M","-2.17%"
"Oct 22, 2018",11524.34,11665.68,11677.45,11497.09,"76.05M","-0.26%"
"Oct 19, 2018",11553.83,11578.85,11617.28,11498.69,"132.73M","-0.31%"
"Oct 18, 2018",11589.21,11695.19,11791.22,11586.32,"100.19M","-1.07%"
"Oct 17, 2018",11715.03,11811.47,11847.79,11669.96,"96.50M","-0.52%"
"Oct 16, 2018",11776.55,11637.62,11790.15,11606.97,"88.34M","1.40%"
"Oct 15, 2018",11614.16,11523.81,11625.02,11459.08,"74.19M","0.78%"
"Oct 12, 2018",11523.81,11691.47,11693.84,11514.55,"102.24M","-0.13%"
"Oct 11, 2018",11539.35,11558.98,11700.5,11518.56,"146.69M","-1.48%"
"Oct 10, 2018",11712.5,11976.7,11978.8,11712.27,"121.23M","-2.21%"
"Oct 09, 2018",11977.22,11963.63,11998.64,11803.19,"79.57M","0.25%"
"Oct 08, 2018",11947.16,12044.96,12072.27,11938.8,"79.66M","-1.36%"
"Oct 05, 2018",12111.9,12236.29,12245.41,12103.55,"96.95M","-1.08%"
"Oct 04, 2018",12244.14,12275.07,12348.86,12174.69,"104.31M","-0.35%"
"Oct 02, 2018",12287.58,12229.07,12310.76,12203.6,"84.85M","-0.42%"
"Oct 01, 2018",12339.03,12265.89,12373.29,12263.1,"79.30M","0.75%"
"Sep 28, 2018",12246.73,12381.36,12394.16,12190.57,"114.06M","-1.52%"
"Sep 27, 2018",12435.59,12329.4,12456.69,12272.65,"92.63M","0.40%"
"Sep 26, 2018",12385.89,12395.2,12395.92,12329.52,"77.28M","0.09%"
"Sep 25, 2018",12374.66,12341.85,12416.87,12322.19,"85.78M","0.19%"
"Sep 24, 2018",12350.82,12383.42,12409.96,12349.3,"74.82M","-0.64%"
"Sep 21, 2018",12430.88,12402.72,12458.3,12373.95,"412.54M","0.85%"
"Sep 20, 2018",12326.48,12210.95,12354.38,12210.57,"113.54M","0.88%"
"Sep 19, 2018",12219.02,12168.2,12241.14,12165.08,"101.59M","0.50%"
"Sep 18, 2018",12157.67,12097.19,12184.41,12064.41,"86.75M","0.51%"
"Sep 17, 2018",12096.41,12056.38,12123.09,12040.8,"71.41M","-0.23%"
"Sep 14, 2018",12124.33,12109.37,12134.54,12075.58,"80.15M","0.57%"
"Sep 13, 2018",12055.55,12036.79,12129.81,12017.41,"100.10M","0.19%"
"Sep 12, 2018",12032.3,11989.27,12046.66,11952.49,"115.76M","0.52%"
"Sep 11, 2018",11970.27,12013.01,12017.73,11865.47,"95.92M","-0.13%"
"Sep 10, 2018",11986.34,11950.55,12039.22,11930.3,"82.98M","0.22%"
"Sep 07, 2018",11959.63,11960.1,11990.81,11888.57,"104.94M","0.04%"
"Sep 06, 2018",11955.25,11995.81,12091.98,11944.5,"90.15M","-0.71%"
"Sep 05, 2018",12040.46,12161.65,12167.36,12035.76,"112.88M","-1.39%"
"Sep 04, 2018",12210.21,12389.46,12402.87,12162.71,"87.09M","-1.10%"
"Sep 03, 2018",12346.41,12338.36,12358.17,12300.47,"52.34M","-0.14%"
"Aug 31, 2018",12364.06,12418.26,12426.86,12348.91,"93.07M","-1.04%"
"Aug 30, 2018",12494.24,12516.55,12529.3,12400.12,"75.97M","-0.54%"
"Aug 29, 2018",12561.68,12553.86,12569.06,12499.53,"59.99M","0.27%"
"Aug 28, 2018",12527.42,12578.65,12597.02,12527.42,"75.15M","-0.09%"
"Aug 27, 2018",12538.31,12462.75,12562.37,12429.34,"53.82M","1.16%"
"Aug 24, 2018",12394.52,12396.69,12444.35,12344.45,"60.88M","0.23%"
"Aug 23, 2018",12365.58,12367.48,12411.01,12353.55,"65.64M","-0.16%"
"Aug 22, 2018",12385.7,12355.53,12438.66,12345.32,"79.58M","0.01%"
"Aug 21, 2018",12384.49,12320.56,12432.66,12316.35,"70.72M","0.43%"
"Aug 20, 2018",12331.3,12263.01,12373.36,12245.56,"61.52M","0.99%"
"Aug 17, 2018",12210.55,12242.06,12244.67,12135.64,"88.70M","-0.22%"
"Aug 16, 2018",12237.17,12202.13,12251.4,12168.92,"83.99M","0.61%"
"Aug 15, 2018",12163.01,12400.27,12428.56,12120.65,"102.79M","-1.58%"
"Aug 14, 2018",12358.87,12444.63,12461.82,12294.9,"84.56M","0.00%"
"Aug 13, 2018",12358.74,12346.75,12396.86,12323.2,"95.64M","-0.53%"
"Aug 10, 2018",12424.35,12574.2,12585.83,12390.4,"124.41M","-1.99%"
"Aug 09, 2018",12676.11,12623.14,12696.52,12577.34,"73.92M","0.34%"
"Aug 08, 2018",12633.54,12622.98,12704.58,12586.23,"92.14M","-0.12%"
