"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Sep 04, 2018",25952.48,25916.07,25971.77,25805.95,"254.60M","-0.05%"
"Aug 31, 2018",25964.82,25964.85,26028.83,25879.77,"273.44M","-0.09%"
"Aug 30, 2018",25986.92,26099.01,26104.37,25934.8,"240.44M","-0.53%"
"Aug 29, 2018",26124.57,26082.53,26167.94,26035.3,"214.96M","0.23%"
"Aug 28, 2018",26064.02,26092.7,26122.24,26037.85,"211.47M","0.06%"
"Aug 27, 2018",26049.64,25882.71,26067.57,25882.71,"220.51M","1.01%"
"Aug 24, 2018",25790.35,25688.58,25826.05,25688.58,"200.33M","0.52%"
"Aug 23, 2018",25656.98,25714.86,25762.56,25608.02,"213.27M","-0.30%"
"Aug 22, 2018",25733.6,25825.06,25836.16,25722.43,"200.48M","-0.34%"
"Aug 21, 2018",25822.29,25786.99,25888.82,25784.9,"241.62M","0.25%"
"Aug 20, 2018",25758.69,25727.7,25790.17,25716.41,"248.57M","0.35%"
"Aug 17, 2018",25669.32,25550.8,25728.16,25521.66,"284.16M","0.43%"
"Aug 16, 2018",25558.73,25294.97,25607.34,25294.97,"342.43M","1.58%"
"Aug 15, 2018",25162.41,25235.37,25235.37,24965.77,"295.81M","-0.54%"
"Aug 14, 2018",25299.92,25215.69,25339.51,25201.87,"219.21M","0.45%"
"Aug 13, 2018",25187.7,25327.19,25381.39,25153.93,"219.99M","-0.50%"
"Aug 10, 2018",25313.14,25401.19,25401.19,25222.88,"234.48M","-0.77%"
"Aug 09, 2018",25509.23,25589.79,25613.31,25492.69,"214.97M","-0.29%"
"Aug 08, 2018",25583.75,25615.72,25634.11,25557.48,"217.77M","-0.18%"
"Aug 07, 2018",25628.91,25551.65,25692.72,25551.65,"239.91M","0.50%"
"Aug 06, 2018",25502.18,25437.43,25540.02,25381.38,"238.99M","0.16%"
"Aug 03, 2018",25462.58,25360.37,25467.9,25325.17,"239.02M","0.54%"
"Aug 02, 2018",25326.16,25256.45,25360.48,25120.07,"307.70M","-0.03%"
"Aug 01, 2018",25333.82,25461.63,25488.8,25278.32,"315.88M","-0.32%"
"Jul 31, 2018",25415.19,25345.21,25490.98,25345.21,"348.70M","0.43%"
"Jul 30, 2018",25306.83,25439.32,25500.16,25287.38,"296.88M","-0.57%"
"Jul 27, 2018",25451.06,25520.52,25580.22,25370.07,"329.68M","-0.30%"
"Jul 26, 2018",25527.07,25468.55,25587.24,25463.16,"297.53M","0.44%"
"Jul 25, 2018",25414.1,25183.7,25432.87,25113.55,"273.67M","0.68%"
"Jul 24, 2018",25241.94,25092.43,25286.62,25092.43,"274.94M","0.79%"
"Jul 23, 2018",25044.29,25036.9,25081.45,24983.33,"228.82M","-0.06%"
"Jul 20, 2018",25058.12,25041.14,25124.1,24986.35,"274.08M","-0.03%"
"Jul 19, 2018",25064.5,25139.15,25154.17,25052.62,"285.76M","-0.53%"
"Jul 18, 2018",25199.29,25133.79,25215.32,25101.12,"252.87M","0.32%"
"Jul 17, 2018",25119.89,25033.92,25155.39,24989.61,"250.45M","0.22%"
"Jul 16, 2018",25064.36,25025.58,25072.41,24979.64,"231.27M","0.18%"
"Jul 13, 2018",25019.41,24926.07,25043.21,24890.06,"255.52M","0.38%"
"Jul 12, 2018",24924.89,24802.9,24939.97,24802.9,"233.15M","0.91%"
"Jul 11, 2018",24700.45,24789.48,24815.16,24663.82,"237.37M","-0.88%"
"Jul 10, 2018",24919.66,24806.97,24945.38,24806.97,"235.04M","0.58%"
"Jul 09, 2018",24776.59,24519.2,24796.52,24518.43,"240.58M","1.31%"
"Jul 06, 2018",24456.48,24352.47,24520.29,24281.47,"219.45M","0.41%"
"Jul 05, 2018",24356.74,24285.82,24372.8,24177.44,"237.67M","0.75%"
"Jul 03, 2018",24174.82,24359.39,24444.88,24150.85,"160.96M","-0.54%"
"Jul 02, 2018",24307.18,24161.53,24319.42,24077.56,"244.11M","0.15%"
"Jun 29, 2018",24271.41,24323.93,24509.52,24269.71,"329.07M","0.23%"
"Jun 28, 2018",24216.05,24064.19,24308.16,23997.21,"305.02M","0.41%"
"Jun 27, 2018",24117.59,24303.11,24569.02,24115.82,"313.79M","-0.68%"
"Jun 26, 2018",24283.11,24281.89,24384.21,24241.22,"301.13M","0.12%"
"Jun 25, 2018",24252.8,24463.73,24463.73,24084.39,"439.13M","-1.33%"
"Jun 22, 2018",24580.89,24526.97,24663.18,24526.97,"473.97M","0.49%"
"Jun 21, 2018",24461.7,24639.21,24639.21,24406.63,"349.57M","-0.80%"
"Jun 20, 2018",24657.8,24771.17,24804.76,24628.39,"359.52M","-0.17%"
"Jun 19, 2018",24700.21,24763.59,24763.59,24567.75,"376.38M","-1.15%"
"Jun 18, 2018",24987.47,24944.28,25003.1,24825.77,"337.07M","-0.41%"
"Jun 15, 2018",25090.48,25116.71,25130.82,24894.38,"659.37M","-0.34%"
"Jun 14, 2018",25175.31,25254.65,25332.5,25138.6,"341.17M","-0.10%"
"Jun 13, 2018",25201.2,25328.65,25362.07,25191.42,"329.70M","-0.47%"
"Jun 12, 2018",25320.73,25346.82,25364.37,25247.04,"265.75M","-0.01%"
"Jun 11, 2018",25322.31,25336.67,25402.83,25290.2,"276.74M","0.02%"
"Jun 08, 2018",25316.53,25209.29,25325.63,25165.7,"317.51M","0.30%"
"Jun 07, 2018",25241.41,25192.14,25326.09,25164.48,"357.68M","0.38%"
"Jun 06, 2018",25146.39,24854.14,25146.46,24854.14,"316.09M","1.40%"
"Jun 05, 2018",24799.98,24820.12,24838.78,24710.82,"306.34M","-0.06%"
"Jun 04, 2018",24813.69,24727.55,24859.37,24722.14,"340.40M","0.72%"
